country_name,country_iso,year,account_ownership_pct,financial_institution_account_pct,mobile_money_account_pct,digital_payment_pct,borrowed_from_financial_institution_pct,source_name,load_timestamp
Kyrgyz Republic,KGZ,2024,0.722642376,0.699585473,0.310351086,0.591015348,0.628881007,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Cambodia,KHM,2024,0.390314429,0.372688785,0.168896941,0.32236086,0.655354059,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
"Korea, Rep.",KOR,2024,0.968949449,0.96743749,0.601022033,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Kuwait,KWT,2024,0.744578561,0.744578561,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Latin America & Caribbean (excluding high income),LAC,2024,0.697191455,0.664234704,0.372803921,0.541133601,0.534172618,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lao PDR,LAO,2024,0.376501969,0.372299012,0.118384277,0.272647166,0.463380043,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lebanon,LBN,2024,0.230438576,0.215510155,0.027158979,0.094999223,0.555514077,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Liberia,LBR,2024,0.522139331,0.138832556,0.475292537,0.483566449,0.775105787,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Libya,LBY,2024,0.331190908,0.331190908,,0.227030236,0.41709881,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Low income,LIC,2024,0.464432333,0.257597745,0.317694503,0.347266318,0.691770014,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Sri Lanka,LKA,2024,0.816921294,0.812270146,0.029961648,0.343865834,0.600381178,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lower middle income,LMC,2024,0.703871704,0.649734164,0.244393827,0.368154092,0.624038271,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Developing economies,LMY,2024,0.754463783,0.713223553,0.183480079,0.542182304,0.590457232,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lesotho,LSO,2024,0.615710445,0.335292031,0.534728195,0.564115625,0.643505152,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Lithuania,LTU,2024,0.989947156,0.989947156,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Luxembourg,LUX,2017,0.987678547,0.987678547,,,0.793281128,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Latvia,LVA,2024,0.9497331,0.9497331,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Morocco,MAR,2024,0.443863291,0.424611317,0.058756973,0.165996078,0.576170489,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Moldova,MDA,2024,0.555442493,0.555442493,,0.407006532,0.465524028,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Madagascar,MDG,2024,0.244501397,0.094532663,0.193550167,0.204746757,0.708498561,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Maldives,MDV,2017,0.795464095,0.794449714,0.233007872,,0.327438533,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Mexico,MEX,2024,0.530320833,0.52389107,0.104373885,0.344182396,0.415319758,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
North Macedonia,MKD,2024,0.842548649,0.842548649,,0.618257609,0.456620306,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Mali,MLI,2024,0.547454806,0.184475281,0.483876159,0.513710356,0.742463787,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Malta,MLT,2024,0.965581295,0.965581295,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
