period_date,period_type,source_file,bulletin_period,deposit_avg_rate_azn_pct,deposit_legal_rate_azn_pct,deposit_individual_rate_azn_pct,loan_avg_rate_azn_pct,loan_legal_rate_azn_pct,loan_individual_rate_azn_pct,deposit_avg_rate_fx_pct,deposit_legal_rate_fx_pct,deposit_individual_rate_fx_pct,loan_avg_rate_fx_pct,loan_legal_rate_fx_pct,loan_individual_rate_fx_pct,country_name,country_iso
2008-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.35565519022407,9.679257983431816,12.46616982155176,16.96929147852062,15.12633891885421,20.292233684010192,12.219044809934442,7.67657798339268,12.469371496756848,16.256982802903423,13.715939121794552,21.69727168150602,Azerbaijan,AZE
2008-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.392882123181254,9.874118219854633,12.33353833515657,17.490891702654732,15.786021916883252,20.44050551979027,12.14634212163414,7.551508273614022,12.497482621798552,16.16687315302716,13.779342336511304,21.222651679662473,Azerbaijan,AZE
2008-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.273999478090209,9.541080660116904,12.315452273240837,17.61890276448513,15.724328348987628,20.79233910760957,10.151489787302468,6.623370681047885,12.673578182570997,16.65347594839002,14.237156990575912,21.305534822520965,Azerbaijan,AZE
2008-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.510543630316047,9.985189134409994,12.47556650917624,17.711993321030384,15.847810282829984,20.84093711890246,9.83689080027469,5.583616179101249,12.582756939764328,17.86738554678167,16.2038633337294,21.06106591308031,Azerbaijan,AZE
2008-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.603299191621778,9.687601877560484,12.762375816747817,17.889375222893587,16.01048049209755,20.957275051418026,9.514503461100642,5.614700320422403,12.704516116070694,16.61161915465066,14.36543466057634,20.88672910706714,Azerbaijan,AZE
2008-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.690645823084221,9.8588106809798,12.82204200571012,17.935064714117512,15.864548329663773,21.049363127575205,9.796753479083039,5.687047873389176,12.939102792020952,14.069109331214882,11.512265869145445,20.614822049260397,Azerbaijan,AZE
2008-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,12.084130701936411,10.50324229235984,12.753043958128348,17.76191877453403,15.552954809268208,20.937368462686617,9.633883160832037,5.108550480728608,12.96577958062622,14.106512004063838,11.522156061526463,21.048598699870862,Azerbaijan,AZE
2008-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.967396631858911,10.07,12.71,18.21,15.95,21.38,9.52,5.19,12.93,14.1,11.71,21.38,Azerbaijan,AZE
2008-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,12.019499788979722,10.48542878065742,12.658594284981852,18.218587417169033,16.00336686477953,21.248820678408247,7.839573708525054,5.152284375804272,12.500065891453298,14.673969347252013,11.920213569523382,21.402859071259268,Azerbaijan,AZE
2008-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,12.311538100424931,10.925283269726412,12.872609194403255,18.24578702702007,16.1030722872146,21.21464020795542,7.966986757425702,5.128234963047501,12.533432001106886,14.69821305396143,11.978259819080314,21.500656709120733,Azerbaijan,AZE
2008-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.880130156462105,10.647577415967255,12.431974973315427,17.987652089875287,15.924630734453254,21.123742461305397,8.0695539192408,5.161166053669487,12.658972303437269,14.887112373845401,12.461115121886904,21.41105521337624,Azerbaijan,AZE
2008-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.87244843640082,10.360889947776561,12.639179325138763,18.07621126911986,15.880779409119015,21.348343825460457,7.907368904926845,5.174883592648923,12.71514843410855,14.318693793605547,11.934721516251168,21.342882294538125,Azerbaijan,AZE
2009-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.605823492323422,9.476226624971869,12.540531737560679,17.45431429121518,14.868187332058014,21.52886998069044,7.95835919203517,5.400815499824055,12.42737589511259,14.522487260765857,12.366145150652745,21.519509712669223,Azerbaijan,AZE
