period_date,period_type,total_exports_ths_usd,exports_yoy_pct,exports_non_cis_ths_usd,exports_non_cis_yoy_pct,exports_cis_ths_usd,exports_cis_yoy_pct,total_imports_ths_usd,imports_yoy_pct,source_file,bulletin_period,country_name,country_iso
2015-10-01,quarterly,3262719.0,61.241586299323146,3080611.0,60.49913275590379,182108.0,77.28623083844025,2752870.0,105.5406270091717,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2016-01-01,annual,13210511.0,84.75854565351123,12537126.0,83.51167563024303,673385.0,117.3903341706922,9004176.0,92.12725385831608,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2016-10-01,quarterly,3675659.0,112.6563151776172,3449555.0,111.97632547569296,226104.0,124.15929009159402,2384277.0,86.61059185504583,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2017-01-01,annual,15152058.61737035,114.69699103517155,14089781.933162,112.38446461463336,1062276.68420835,157.75175927713715,9037315.9741737,100.36805115952532,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2017-10-01,quarterly,4360602.61737035,118.63458001328063,3933738.933162,114.03612736025373,426863.68420835,188.79085916584847,2647502.9741737,111.04007521666736,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2018-01-01,annual,20793769.0,137.2339529901368,19660046.0,139.5340686836871,1133723.0,106.72577275334764,10952441.0,121.19130316234632,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2018-10-01,quarterly,5565045.0,127.62100765228604,5153341.0,131.00363515627777,411704.0,96.4485889127662,3058779.0,115.53448777350899,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2019-01-01,annual,19868260.82786759,95.54910813844084,18640073.99454759,94.81195514266646,1228186.8333199997,108.33217931717004,11335316.035188857,103.4957963725973,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2019-10-01,quarterly,4848326.536870041,87.12106617053485,4475032.583990041,86.83750180688685,373293.9528799999,90.6704702601869,3212064.4822185347,105.01132910283924,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2020-01-01,annual,12588158.035708018,63.358127542052564,11361019.2327592,60.94943204668829,1227138.80294882,99.91466848994409,10076563.924735539,88.89530643392999,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2020-10-01,quarterly,2825029.4996727156,58.268135988556665,2477205.477835661,55.35614392391592,347824.021837055,93.17697732673089,2657072.66242681,82.72164762369906,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2021-01-01,annual,21692281.000000007,172.32291601731492,19889468.834310226,175.0676451366218,1802812.1656897794,146.91183763056094,10418668.0,103.3950469407997,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2021-10-01,quarterly,7799402.000000006,276.0821435989812,7194636.834310226,290.4335913464956,604765.1656897794,173.871017446027,2932014.0,110.34752799428811,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2022-01-01,annual,42206696.14190874,194.570115249331,40706447.4970271,204.66332125876914,1500248.6448816422,83.21713561920787,13509216.421858551,129.66356564830122,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2022-10-01,quarterly,10979790.23919679,140.77733445713895,10516160.54651809,146.16666259467019,463629.692678701,76.66276415737289,3974672.4043150037,135.56116731758456,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2023-01-01,annual,29202113.999999963,69.18834372113764,27586296.5468695,67.76886277999131,1615817.45313046,107.70331029080418,16396550.999999953,121.37307218995737,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2023-10-01,quarterly,7375696.071525682,67.17520017090271,6903303.842534903,65.64471711893553,472392.22899077786,101.88998600617009,4546595.14116082,114.38917924971432,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2024-01-01,annual,25992028.287370764,89.00735161629325,24274261.0360891,87.99391029109977,1717767.2512816598,106.30948737146537,17167084.151302718,104.69936117237562,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2024-04-01,quarterly,6168008.850604274,92.4249521012376,5698014.717543547,91.76258967489129,469994.1330607276,101.28880643573702,4214096.30412085,107.90839105744286,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2024-10-01,quarterly,6726965.31328663,91.20448087952654,6268658.7296986,90.80664668233318,458306.58358802996,97.01823092373036,4905979.666262429,107.904476073712,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2025-01-01,annual,18195025.010102957,94.44570741647397,17080547.6983444,94.86240675371474,1114477.3117585601,88.48845703132847,12596063.3472184,102.73188163910349,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2025-04-01,quarterly,6013125.760694866,97.48892886406551,5567424.633441789,97.70814765185345,445701.127253077,94.83121083885706,4297173.7262439225,101.97141726547241,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
